size,operation,time_ns,iterations
95661,insert,6412201,1550044
95661,findMin,10699,1550055
95661,extractMin,74737699,9630762
95661,merge,6200,1454404
20278,insert,1481700,282946
20278,findMin,7700,282955
20278,extractMin,6323000,1723588
20278,merge,5500,262685
3331,insert,96901,37910
3331,findMin,799,37915
3331,extractMin,741999,222356
3331,merge,5400,34587
33263,insert,991101,496878
33263,findMin,1000,496887
33263,extractMin,19231299,3008448
33263,merge,6098,463629
93629,insert,3997300,1511478
93629,findMin,1701,1511490
93629,extractMin,55683201,9403384
93629,merge,8599,1417872
26123,insert,1083200,374394
26123,findMin,0,374401
26123,extractMin,10213799,2287396
26123,merge,200,348283
48292,insert,1871100,735968
48292,findMin,101,735976
48292,extractMin,21131801,4530838
48292,merge,801,687691
31395,insert,1026501,464078
31395,findMin,0,464087
31395,extractMin,14791500,2813012
31395,merge,700,432699
39951,insert,1498799,596144
39951,findMin,0,596152
39951,extractMin,21876701,3668414
39951,merge,499,556205
85228,insert,3003300,1361520
85228,findMin,0,1361529
85228,extractMin,52093400,8471330
85228,merge,900,1276309
58998,insert,1481800,919982
58998,findMin,101,919992
58998,extractMin,22926102,5655884
58998,merge,1099,861003
4192,insert,89699,49952
4192,findMin,101,49955
4192,extractMin,786099,291030
4192,merge,199,45765
57399,insert,1227200,893560
57399,findMin,99,893568
57399,extractMin,30245802,5490750
57399,merge,701,836174
40847,insert,1048099,611978
40847,findMin,98,611989
40847,extractMin,15818799,3765240
40847,merge,799,571149
58662,insert,1367099,913974
58662,findMin,101,913982
58662,extractMin,19269900,5620444
58662,merge,698,855327
74068,insert,1539299,1175536
74068,findMin,0,1175542
74068,extractMin,30217200,7268990
74068,merge,799,1101479
80475,insert,1674101,1281980
80475,findMin,0,1281990
80475,extractMin,35893000,7958246
80475,merge,899,1201523
43682,insert,1122400,655226
43682,findMin,100,655233
43682,extractMin,17676400,4044848
43682,merge,300,611557
20864,insert,411499,291456
20864,findMin,100,291460
20864,extractMin,4771499,1778426
20864,merge,199,270599
42095,insert,1054700,630126
42095,findMin,0,630135
42095,extractMin,11382900,3886272
42095,merge,499,588045
7922,insert,190400,101602
7922,findMin,199,101611
7922,extractMin,1704900,600916
7922,merge,201,93697
89179,insert,5689200,1430972
89179,findMin,101,1430982
89179,extractMin,46065702,8905178
89179,merge,600,1341811
79424,insert,1690499,1263104
79424,findMin,100,1263110
79424,extractMin,33529600,7842986
79424,merge,501,1183691
4181,insert,81900,49832
4181,findMin,101,49837
4181,extractMin,789101,290594
4181,merge,101,45660
58158,insert,1364300,905402
58158,findMin,100,905411
58158,extractMin,18795101,5568340
58158,merge,599,847261
43662,insert,870301,654910
43662,findMin,0,654918
43662,extractMin,16301500,4043376
43662,merge,398,611263
29855,insert,624898,436556
29855,findMin,101,436566
29855,extractMin,7158602,2658434
29855,merge,398,406716
64665,insert,1291400,1028938
64665,findMin,0,1028948
64665,extractMin,27277600,6283552
64665,merge,501,964292
30331,insert,593601,444946
30331,findMin,99,444957
30331,extractMin,12428200,2705604
30331,merge,300,414635
31427,insert,710899,464686
31427,findMin,0,464695
31427,extractMin,11034800,2818756
31427,merge,300,433275
16010,insert,390898,221974
16010,findMin,98,221982
16010,extractMin,3529000,1329712
16010,merge,300,205979
61754,insert,1376500,971658
61754,findMin,101,971667
61754,extractMin,29386701,5957860
61754,merge,600,909921
81157,insert,1846699,1294918
81157,findMin,0,1294926
81157,extractMin,34320298,8036104
81157,merge,501,1213776
71660,insert,1436900,1136200
71660,findMin,100,1136210
71660,extractMin,28411099,7010486
71660,merge,400,1064559
73291,insert,1484500,1162918
73291,findMin,101,1162927
73291,extractMin,25002300,7187368
73291,merge,600,1089643
55236,insert,1139000,852680
55236,findMin,0,852689
55236,extractMin,18958800,5254538
55236,merge,5899,797461
29470,insert,722200,430010
29470,findMin,0,430019
29470,extractMin,9136601,2618940
29470,merge,398,400557
15448,insert,341300,212184
15448,findMin,0,212191
15448,extractMin,3331101,1274318
15448,merge,300,196749
73832,insert,5011902,1172536
73832,findMin,0,1172541
73832,extractMin,36958002,7244766
73832,merge,499,1098713
40579,insert,1259001,606888
40579,findMin,100,606896
40579,extractMin,22012999,3733482
40579,merge,602,566323
9869,insert,247698,127252
9869,findMin,101,127259
9869,extractMin,2218499,766962
9869,merge,200,117396
5575,insert,146100,67160
5575,findMin,0,67168
5575,extractMin,1145100,401154
5575,merge,99,61598
21710,insert,405000,303806
21710,findMin,0,303814
21710,extractMin,6337300,1856636
21710,merge,401,282111
98020,insert,2139900,1598776
98020,findMin,98,1598787
98020,extractMin,46443802,9912382
98020,merge,1401,1500777
74785,insert,1486899,1186152
74785,findMin,0,1186157
74785,extractMin,32323200,7340018
74785,merge,499,1111376
34111,insert,654200,507630
34111,findMin,0,507639
34111,extractMin,8298900,3085348
34111,merge,401,473531
43475,insert,867599,651950
43475,findMin,0,651959
43475,extractMin,13776399,4025616
43475,merge,600,608491
18812,insert,361700,260664
18812,findMin,0,260672
18812,extractMin,6501900,1584154
18812,merge,401,241867
28502,insert,708299,414222
28502,findMin,101,414232
28502,extractMin,7915501,2523620
28502,merge,401,385739
43793,insert,900101,657132
43793,findMin,101,657139
43793,extractMin,12058300,4057114
43793,merge,701,613352
