size;time_array_ms;iterations_array;time_list_ms;iterations_list
2610;1;31356;2;31356
1723;0;20712;1;20712
4214;1;50604;2;50604
7513;1;112740;1;112740
5600;0;84045;2;84045
955;1;11496;0;11496
1976;0;23748;0;23748
5140;1;61716;1;61716
2922;0;35100;1;35100
8953;0;107472;1;107472
4179;0;62730;1;62730
3981;1;47808;1;47808
8369;1;125580;2;125580
9129;1;136980;2;136980
973;0;11712;0;11712
7043;0;105690;2;105690
5872;0;70500;1;70500
2370;0;28476;0;28476
7215;0;108270;1;108270
7247;0;87000;0;87000
5741;0;68928;1;68928
5125;1;61536;0;61536
5697;1;85500;0;85500
1054;0;12684;0;12684
8349;1;100224;1;100224
591;0;7128;0;7128
1735;0;26070;0;26070
5668;0;68052;1;68052
2728;0;32772;1;32772
270;0;3276;0;3276
4367;0;65550;1;65550
5006;0;75135;0;75135
2727;0;32760;0;32760
2555;0;30696;1;30696
9610;0;144195;0;144195
5223;0;62712;0;62712
8680;0;130245;0;130245
2857;0;34320;1;34320
2215;0;26616;0;26616
8554;0;128355;1;128355
2090;0;31395;0;31395
1436;1;17268;0;17268
8579;0;102984;1;102984
2356;0;28308;0;28308
8440;0;126645;1;126645
6958;0;104415;0;104415
2833;0;34032;0;34032
2398;1;36015;0;36015
8105;0;97296;0;97296
3170;1;47595;0;47595
