Size,ArrayTime_ns,ArrayIterations,ListTime_ns,ListIterations
5611,6296900,43810,3273400,43810
2541,746900,19882,975800,19882
6464,1321600,50398,1379500,50398
7676,1489200,59982,1916700,59982
3915,1104100,30706,1110100,30706
7631,2398700,59642,2312300,59642
2999,4209700,23444,1170300,23444
4187,1356300,32708,1316600,32708
3114,560100,24296,612600,24296
8080,2076500,63296,1377500,63296
3342,576200,26178,627400,26178
3349,681100,26252,558400,26252
3589,457600,28066,545700,28066
8918,1013900,69712,1149400,69712
1529,171200,11944,194400,11944
9760,807500,76188,867000,76188
6966,597800,54538,572100,54538
1031,237800,8072,226600,8072
9245,1253600,72558,1265800,72558
6356,901400,49726,924000,49726
1698,479200,13326,492900,13326
6413,1397800,50068,1331900,50068
687,473900,5384,809600,5384
3505,2154500,27430,1673600,27430
5965,2510100,46406,2520900,46406
4608,2038800,35886,2002500,35886
9330,3006100,73226,3822600,73226
873,647600,6796,643600,6796
6313,2526000,49224,1779600,49224
5075,2380700,39626,2862300,39626
2607,471700,20408,433500,20408
6112,1108200,47948,1109600,47948
8745,1274700,68168,1355000,68168
8689,985300,67680,837600,67680
3849,598800,30026,689900,30026
7460,1021500,58504,1037600,58504
8089,988400,63234,900600,63234
9193,1258600,72082,1433800,72082
7268,997000,56898,1024900,56898
8229,1095300,64550,1066500,64550
3537,340500,27628,397200,27628
7380,559300,57564,597800,57564
9017,839600,70452,732800,70452
5363,406100,42006,467200,42006
5453,414700,42446,479400,42446
3131,271800,24480,313000,24480
4323,348700,33784,392200,33784
9680,758200,75688,785900,75688
5034,707500,39286,811200,39286
5052,714800,39438,835200,39438
