size;dataType;time_ns;iterations
5611;array;16792744000;15697981663
5611;list;48361989200;15697981663
2541;array;2632007601;1744943239
2541;list;6536335101;1744943239
6464;array;11640121900;15700415135
6464;list;32796441000;15700415135
7676;array;11556328799;15704590464
7676;list;43156193299;15704590464
3915;array;12447094200;5233850444
3915;list;22365851499;5233850444
7631;array;23763135700;15704414899
7631;list;51382800101;15704414899
2999;array;1299664800;1745552808
2999;list;3572736600;1745552808
4187;array;6343815200;5234362896
4187;list;11051259400;5234362896
3114;array;1281446200;1745776830
3114;list;3600634800;1745776830
8080;array;11490703700;15705679842
8080;list;32705326799;15705679842
3342;array;1274584699;1746055732
3342;list;3587909801;1746055732
3349;array;1275353999;1746099232
3349;list;3608975200;1746099232
3589;array;1274364802;1746603627
3589;list;3598091399;1746603627
8918;array;56677404100;47089771752
8918;list;98429889399;47089771752
1529;array;142161900;194290148
1529;list;399925299;194290148
9760;array;59616665602;47093478076
9760;list;98488163799;47093478076
6966;array;11389031701;15701955361
6966;list;32093187601;15701955361
1031;array;77537401;64835650
1031;list;137849899;64835650
9245;array;56428899400;47091002736
9245;list;102892032999;47091002736
6356;array;11942858498;15700092699
6356;list;33887503599;15700092699
1698;array;713145301;581838451
1698;list;1233214799;581838451
6413;array;11978676300;15700226956
6413;list;32757707201;15700226956
687;array;16510399;21634917
687;list;45409801;21634917
3505;array;1282622701;1746333988
3505;list;3610761400;1746333988
5965;array;11481564600;15698734438
5965;list;32581916699;15698734438
4608;array;6302496700;5235338728
4608;list;10957037201;5235338728
